Publication3,Author3,A3,Magazine3,2022,Vol3,0,460,90
Publication8,Author8,A8,Magazine8,2021,Vol8,0,282,83
Publication6,Author6,A6,Magazine6,2018,Vol6,1,73,31
Publication5,Author5,A5,Magazine5,2017,Vol5,1,6,65
Publication4,Author4,A4,Magazine4,2011,Vol4,0,385,39
Publication7,Author7,A7,Magazine7,2008,Vol7,1,300,98
Publication1,Author1,A1,Magazine1,2005,Vol1,0,418,56
Publication9,Author9,A9,Magazine9,2004,Vol9,1,381,80
Publication2,Author2,A2,Magazine2,2003,Vol2,1,429,39
Publication0,Author0,A0,Magazine0,2002,Vol0,0,312,56
